group,sec,SCL_mean
vr_low,58,2.781166073679924
vr_low,59,2.765697019733489
vr_low,60,2.762525912933052
vr_low,61,2.7799405749887227
vr_low,62,2.7935308484360575
vr_low,63,2.7818003013730053
vr_low,64,2.7675185637548565
vr_low,65,2.754204877465963
vr_low,66,2.7436998473480347
vr_low,67,2.7538377095013855
vr_low,68,2.7556878862902523
vr_low,69,2.7426650611683727
vr_low,70,2.73739583324641
vr_low,71,2.735712561197579
vr_low,72,2.723085545003414
vr_low,73,2.7133291447535157
vr_low,74,2.715689577907324
vr_low,75,2.724282440543175
vr_low,76,2.7354932186193763
vr_low,77,2.7494792784564197
vr_low,78,2.7597172778099774
vr_low,79,2.797073859814555
vr_low,80,2.8291754931211472
vr_low,81,2.8014847185462712
vr_low,82,2.7937501795589923
vr_low,83,2.7920764528214934
vr_low,84,2.7920478112995624
vr_low,85,2.783831665664911
vr_low,86,2.767280150204897
vr_low,87,2.757228121906519
vr_low,88,2.752588342688978
vr_low,89,2.769030206464231
vr_low,90,2.7793922014534473
vr_low,91,2.762521170079708
vr_low,92,2.7489261405542496
vr_low,93,2.7447155276313424
vr_low,94,2.7415444662794473
vr_low,95,2.7293656835332514
vr_low,96,2.7165717614814637
vr_low,97,2.705618452653289
vr_low,98,2.7014984615147113
vr_low,99,2.704535996634513
vr_low,100,2.702538011223078
vr_low,101,2.7096240258775652
vr_low,102,2.7126854031346737
vr_low,103,2.715942291170359
vr_low,104,2.7385116942226886
vr_low,105,2.7616676087491214
vr_low,106,2.7815666469745337
vr_low,107,2.791737879347056
vr_low,108,2.793907538801432
vr_low,109,2.7861682428978383
vr_low,110,2.780050242971629
vr_low,111,2.781719210743904
vr_low,112,2.7804937143810093
vr_low,113,2.7832880720496176
vr_low,114,2.7705084451474247
vr_low,115,2.752278399839997
vr_low,116,2.7445247896015643
vr_low,117,2.7362323398701847
vr_low,118,2.73418663199991
vr_low,119,2.7397991832345725
vr_low,120,2.740552620962262
vr_low,121,2.7314113430678844
vr_low,122,2.71856497740373
vr_low,123,2.7096097078174353
vr_low,124,2.7009882347658274
vr_low,125,2.6941787706688047
vr_low,126,2.6853236416354775
vr_low,127,2.6794440587982535
vr_low,128,2.6860579987987876
vr_low,129,2.6945555064827205
vr_low,130,2.6955759638920425
vr_low,131,2.6974929410964252
vr_low,132,2.682648510672152
vr_low,133,2.6640894435346127
vr_low,134,2.6546048385091128
vr_low,135,2.6593924445100128
vr_low,136,2.660775327775627
vr_low,137,2.650289352238178
vr_low,138,2.6428170926868915
vr_low,139,2.6403374588117003
vr_low,140,2.6428886011242865
vr_low,141,2.6343768044374882
vr_low,142,2.6199997279793026
vr_low,143,2.6134954504668713
vr_low,144,2.613233184069395
vr_low,145,2.6041634930297732
vr_low,146,2.591884564049542
vr_low,147,2.5868537690490485
vr_low,148,2.596223909780383
vr_low,149,2.605002767965198
vr_low,150,2.598922877758741
vr_low,151,2.5924472268670797
vr_low,152,2.589657658804208
vr_low,153,2.5815845619887114
vr_low,154,2.5735353168100117
vr_low,155,2.568490215577185
vr_low,156,2.5597685961052776
vr_low,157,2.5528399327769877
vr_low,158,2.5545661464333533
vr_low,159,2.568394847586751
vr_low,160,2.563440347928554
vr_low,161,2.544557009637356
vr_low,162,2.5434221340343357
vr_low,163,2.55253474265337
vr_low,164,2.5512186518870292
vr_low,165,2.54427567794919
vr_low,166,2.547060490772128
vr_low,167,2.5487199421972035
vr_low,168,2.5366746744140984
vr_low,169,2.528501425869763
vr_low,170,2.527571569941938
vr_low,171,2.5303849881514906
vr_low,172,2.5397742034867408
vr_low,173,2.5357305001467467
vr_low,174,2.5407851305790246
vr_low,175,2.5439895724877717
vr_low,176,2.5378048127517103
vr_low,177,2.5322399586439133
vr_low,178,2.526131452433765
vr_low,179,2.5202900527045133
vr_low,180,2.5175147626549004
vr_low,181,2.5165896847844125
vr_low,182,2.512011894583702
vr_low,183,2.506780831515789
vr_low,184,2.5009059926494954
vr_low,185,2.4955414678901433
vr_low,186,2.4867244405671953
vr_low,187,2.4790423626080154
vr_low,188,2.473706378787756
vr_low,189,2.470845292881131
vr_low,190,2.468236906453967
vr_low,191,2.4706879295408726
vr_low,192,2.4680747631937265
vr_low,193,2.4595200517214835
vr_low,194,2.456787705142051
vr_low,195,2.4521527057513595
vr_low,196,2.443335716798902
vr_low,197,2.438800844177604
vr_low,198,2.4381761794909833
vr_low,199,2.437479988113046
vr_low,200,2.43259701859206
vr_low,201,2.4361543442122637
vr_low,202,2.4467833527363836
vr_low,203,2.44736036574468
vr_low,204,2.4371080263517797
vr_low,205,2.4315956188365817
vr_low,206,2.428448386490345
vr_low,207,2.4217915551736953
vr_low,208,2.423126737587154
vr_low,209,2.4360827879980205
vr_low,210,2.4458201214671136
vr_low,211,2.4352292366325856
vr_low,212,2.433331372216344
vr_low,213,2.433197851292789
vr_low,214,2.427394553460181
vr_low,215,2.430532246176153
vr_low,216,2.4281050719320776
vr_low,217,2.4154637388885023
vr_low,218,2.4062366615980864
vr_low,219,2.402936848625541
vr_low,220,2.4105998472310604
vr_low,221,2.4156640078872442
vr_low,222,2.4173377647995946
vr_low,223,2.419493134692311
vr_low,224,2.422273189201951
vr_low,225,2.422568824328482
vr_low,226,2.4161074804142118
vr_low,227,2.4120017852634192
vr_low,228,2.409798737987876
vr_low,229,2.411529706418514
vr_low,230,2.4123355992138387
vr_low,231,2.410566463507712
vr_low,232,2.415420813765377
vr_low,233,2.430622836202383
vr_low,234,2.442873177677393
vr_low,235,2.436197249405086
vr_low,236,2.424151964113116
vr_low,237,2.4184726379811763
vr_low,238,2.4174664959311487
vr_low,239,2.417886151559651
